from_node,to_node,edge_key,distance_km,traffic_weight,travel_time_min,highway_type,maxspeed
309593346,309593339,0,0.031,2.55,0.07,residential,unknown
309593346,309593175,0,0.035,2.17,0.07,residential,unknown
309593346,309593348,0,0.179,1.9,0.37,residential,unknown
309593348,309593345,0,0.031,1.92,0.06,residential,unknown
309593348,309593297,0,0.036,1.58,0.07,residential,unknown
309593348,309593346,0,0.179,1.09,0.33,residential,unknown
309593397,309593162,0,0.038,2.18,0.08,residential,unknown
309593397,309593264,0,0.007,2.39,0.01,residential,unknown
309593397,309593398,0,0.135,2.76,0.31,residential,unknown
309593398,309593400,0,0.031,2.24,0.07,residential,unknown
309593398,309593163,0,0.035,1.06,0.06,residential,unknown
309593398,309593397,0,0.135,1.33,0.26,residential,unknown
309593399,309593264,0,0.027,1.0,0.05,residential,unknown
309593399,309593283,0,0.017,2.47,0.04,residential,unknown
309593399,309593400,0,0.135,1.22,0.25,residential,unknown
309593400,309593414,0,0.034,1.61,0.07,residential,unknown
309593400,309593398,0,0.031,1.74,0.06,residential,unknown
309593400,309593399,0,0.135,2.01,0.28,residential,unknown
309593401,309593283,0,0.017,1.56,0.03,residential,unknown
309593401,309593254,0,0.038,2.21,0.08,residential,unknown
309593401,309593414,0,0.136,2.86,0.32,residential,unknown
309593414,309593259,0,0.045,1.4,0.09,residential,unknown
309593414,309593400,0,0.034,2.0,0.07,residential,unknown
309593414,309593401,0,0.136,2.57,0.31,residential,unknown
309593849,12240947259,0,0.032,1.65,0.06,residential,unknown
309593849,265525611,0,0.016,2.58,0.04,tertiary,unknown
309593849,304771894,0,0.053,2.27,0.11,tertiary,unknown
309593854,309593901,0,0.033,1.19,0.06,residential,unknown
309593854,12240947259,0,0.027,1.0,0.05,residential,unknown
309593854,309593860,0,0.133,1.66,0.27,residential,unknown
309593860,2228517315,0,0.05,1.28,0.1,residential,unknown
309593860,309593854,0,0.133,2.07,0.28,residential,unknown
309593860,6144129431,0,0.038,3.11,0.09,residential,unknown
309593901,583466957,0,0.053,1.05,0.1,residential,unknown
